,OEN,ArticleNumber,Price
0,Mercedes-Benz 5WK96682,5WK96682,"€237,50 Incl. BTW €287,38"
1,Mercedes-Benz A0009058411,5WK96681E,"€237,50 Incl. BTW €287,38"
2,Mercedes-Benz A0009058511,5WK96682,"€237,50 Incl. BTW €287,38"
3,BMW NOx sensor 11787587129 / 758712905 / 758712903,5WK96610L,"€237,50 Incl. BTW €287,38"
4,BMW NOx sensor 5WK96610L,5WK96610L,"€237,50 Incl. BTW €287,38"
5,BMW NOx sensor 11787587130 / 758713005,5WK96621K,"€237,50 Incl. BTW €287,38"
6,BMW NOx sensor 5WK96621K,5WK96621K,"€237,50 Incl. BTW €287,38"
7,BMW NOx sensor 11787590402,5WK96650D,"€237,50 Incl. BTW €287,38"
8,BMW NOx sensor 5WK96650D,5WK96650D,"€237,50 Incl. BTW €287,38"
9,BMW NOx sensor 13628589846,5WK96699C,"€237,50 Incl. BTW €287,38"
10,BMW NOx sensor 5WK96699C,5WK96699C,"€237,50 Incl. BTW €287,38"
11,CHRYSLER NOx sensor 05149216AB,5WK96651A,"€237,50 Incl. BTW €287,38"
12,CHRYSLER NOx sensor 5WK96651A,5WK96651A,"€237,50 Incl. BTW €287,38"
13,CHRYSLER NOx sensor 5WK96684A,5WK96684A,"€237,50 Incl. BTW €287,38"
14,CHRYSLER NOx sensor 68067521AA,5WK96684A,"€237,50 Incl. BTW €287,38"
15,CHRYSLER NOx sensor 5WK96730,5WK96730,"€237,50 Incl. BTW €287,38"
16,CHRYSLER NOx sensor 68085740AA,5WK96730,"€237,50 Incl. BTW €287,38"
17,CHRYSLER NOx sensor 5WK97360,5WK97360,"€237,50 Incl. BTW €287,38"
18,CHRYSLER NOx sensor 68227468AA,5WK97360,"€237,50 Incl. BTW €287,38"
19,Cummins NOx sensor 2871974 / 2894943RX,5WK96672A,"€237,50 Incl. BTW €287,38"
20,Cummins NOx sensor 5WK96672A,5WK96672A,"€237,50 Incl. BTW €287,38"
21,Cummins NOx sensor 2871978 / 2894939RX,5WK96674A,"€237,50 Incl. BTW €287,38"
22,Cummins NOx sensor 5WK96674A,5WK96674A,"€237,50 Incl. BTW €287,38"
23,Cummins NOx sensor 2872236 / 2894944RX,5WK96691A,"€237,50 Incl. BTW €287,38"
24,Cummins NOx sensor 5WK96691A,5WK96691A,"€237,50 Incl. BTW €287,38"
25,Cummins NOx sensor 2872298 / 2894946RX,5WK96693A,"€237,50 Incl. BTW €287,38"
26,Cummins NOx sensor 5WK96693A,5WK96693A,"€237,50 Incl. BTW €287,38"
27,Cummins NOx sensor 2872947 / 2872947NX / 4326869,5WK96753,"€237,50 Incl. BTW €287,38"
28,Cummins NOx sensor 5WK96753,5WK96753,"€237,50 Incl. BTW €287,38"
29,Cummins NOx sensor 2894941 / 3687334 / 3687334,5WK96673A,"€237,50 Incl. BTW €287,38"
30,Cummins NOx sensor 5WK96673A,5WK96673A,"€237,50 Incl. BTW €287,38"
31,Cummins NOx sensor 2894942,5WK96676A,"€237,50 Incl. BTW €287,38"
32,Cummins NOx sensor 5WK96676A,5WK96676A,"€237,50 Incl. BTW €287,38"
33,Cummins NOx sensor 2894945 / 2872297 / 5293295,5WK96692A,"€237,50 Incl. BTW €287,38"
34,Cummins NOx sensor 5WK96692A,5WK96692A,"€237,50 Incl. BTW €287,38"
35,Cummins NOx sensor 3687930 / 2872944 / 4326870,5WK96740B,"€237,50 Incl. BTW €287,38"
36,Cummins NOx sensor 5WK96740B,5WK96740B,"€237,50 Incl. BTW €287,38"
